Dataset task num_layers val_seen_percent test_seen_percent hybrid_val_score hybrid_test_score id_val_score id_test_score shallow_val_score shallow_test_score
rel-amazon user-item-purchase 2 0.08573558224529217 0.08871018079645489 1.88 0.73 0.13 0.10 1.45 0.56
rel-amazon user-item-purchase 6 0.22687541574305925 0.22447111492754393 2.24 1.82 2.60 2.06 0.52 0.36
rel-amazon user-item-rate 2 0.08637849020749327 0.0817641860336546 1.01 0.77 0.15 0.12 1.62 0.74
rel-amazon user-item-rate 6 0.2689463264104126 0.26952727841803914 2.68 2.25 1.61 1.24 0.48 0.46
rel-amazon user-item-review 2 0.09680724734147615 0.09515364798464698 1.21 0.47 0.11 0.09 1.06 0.40
rel-amazon user-item-review 6 0.2429680855967445 0.24032112116768253 1.83 1.55 1.86 1.57 0.35 0.23
rel-avito user-ad-visit 2 0.07993066714026004 0.07267090204429297 5.36 3.64 5.40 3.66 0.0 0.0
rel-hm user-item-purchase 2 0.3192527531878307 0.3292465866555637 3.00 2.89 2.64 2.81 0.49 0.40
rel-stack user-post-comment 2 0.46277790292083903 0.4610620864266801 15.22 13.34 15.17 12.72 0.05 0.03
rel-stack post-post-related 2 0.24829931972789115 0.21727019498607242 8.26 11.18 7.76 10.83 0.65 0.82
rel-trial condition-sponsor-run 4 0.10567651706273132 0.11457696949294664 11.59 11.65 11.33 11.36 0.88 0.85
rel-trial site-sponsor-run 4 0.02356079695737341 0.039217535487458224 28.55 28.02 17.47 19.06 12.59 10.66
